property_id,roof_data_date,street,city,state,zip,full_address,visual_score,detection_types,detections,image_ref,all_sales,relevant_sale_date,relevant_sale_amount
131228,2019-01-02T12:13:04.842-08:00,7575 Gateway Blvd,Newark,CA,94560,"7575 Gateway Blvd, Newark, CA 94560",77.42220490722656,"{shape,debris,patching,wear,staining,pool,rust,damage,ponding,material,overhang}","{Flat,Moderate,None,No,Minor,""No Swimming Pool"",None,Undamaged,Moderate,PVC/TPO,None}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131228/xLXsyxZNc.jpeg,[],null,null
131235,2019-01-02T14:03:38.243-08:00,643 7th St.,San Francisco,CA,94103,"643 7th St., San Francisco, CA 94103",16.0400390625,"{shape,overhang,material,ponding,damage,rust,pool,staining,wear,patching,debris}","{Flat,None,""Metal Panel"",Moderate,Undamaged,None,""No Swimming Pool"",Prevalent,Identified,None,None}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131235/J3Z8z7kne.jpeg,[],null,null
131243,2019-01-03T06:01:22.880-08:00,1804 Rutherford Ln,Austin,TX,78752,"1804 Rutherford Ln, Austin, TX 78752",99.71570377673383,"{shape,overhang,material,material,ponding,damage,rust,pool,staining,wear,patching,debris}","{Flat,None,""Metal Panel"",PVC/TPO,None,Undamaged,None,""No Swimming Pool"",None,No,None,None}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131243/yfHNrjynu.jpeg,"[{'salesearchdate': '2017-7-18', 'saleTransDate': '2017-7-18', 'amount': {'saleamt': 0, 'saledisclosuretype': 2, 'saledocnum': '0000115273', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2013-6-28', 'saleTransDate': '2013-6-28', 'amount': {'saleamt': 0, 'salerecdate': '2013-6-28', 'saledisclosuretype': 2, 'saledocnum': '0000120090', 'saletranstype': 'Resale'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2010-7-9', 'saleTransDate': '2010-7-9', 'amount': {'saleamt': 0, 'salerecdate': '2010-7-13', 'saledisclosuretype': 2, 'saledocnum': '0000100215', 'saletranstype': 'Resale'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}]",null,null
131244,2019-01-03T07:38:57.275-08:00,918 N Highland St,Gastonia,NC,28052,"918 N Highland St, Gastonia, NC 28052",92.86118294536405,"{shape,overhang,material,ponding,damage,rust,pool,staining,wear,patching,debris}","{Flat,None,EPDM,None,Undamaged,None,""No Swimming Pool"",None,No,None,Moderate}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131244/2-7vvwZim.jpeg,"[{'salesearchdate': '2018-11-6', 'saleTransDate': '2018-11-6', 'amount': {'saleamt': 500000, 'salerecdate': '2018-11-9', 'saledisclosuretype': 0, 'saletranstype': 'Resale'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 33}}, {'salesearchdate': '2009-4-6', 'saleTransDate': '2009-4-6', 'amount': {'saleamt': 407000, 'salerecdate': '2009-4-6', 'saledisclosuretype': 0, 'saletranstype': 'Resale'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 27}}]",null,null
131245,2019-01-03T08:10:34.184-08:00,1732 Westheimer Rd,Houston,TX,77098,"1732 Westheimer Rd, Houston, TX 77098",44.189148793090865,"{patching,shape,overhang,material,material,ponding,damage,rust,pool,staining,wear,debris}","{None,Flat,Medium,""Metal Panel"",PVC/TPO,Moderate,Undamaged,None,""No Swimming Pool"",Prevalent,No,Moderate}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131245/QC4oC1pTG.jpeg,[],null,null
131246,2019-01-03T08:18:27.770-08:00,11335 Charles Rd,Jersey Village,TX,77041,"11335 Charles Rd, Jersey Village, TX 77041",76.00382175969976,"{shape,overhang,material,ponding,damage,rust,pool,staining,wear,patching,debris}","{Gable,None,""Metal Panel"",None,Undamaged,None,""No Swimming Pool"",None,No,Moderate,None}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131246/HLFDokbr5.jpeg,"[{'salesearchdate': '2013-8-28', 'saleTransDate': '2013-8-28', 'amount': {'saleamt': 0, 'saledisclosuretype': 2, 'saledocnum': '0000507316', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2013-8-28', 'saleTransDate': '2013-8-28', 'amount': {'saleamt': 0, 'saledisclosuretype': 2, 'saledocnum': '0000539630', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2011-8-10', 'saleTransDate': '2011-8-10', 'amount': {'saleamt': 0, 'salerecdate': '2011-9-6', 'saledisclosuretype': 2, 'saledocnum': '0000374436', 'saletranstype': 'Construction Loan/Financing'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2008-8-28', 'saleTransDate': '2008-8-28', 'amount': {'saleamt': 0, 'saledisclosuretype': 2, 'saledocnum': '0000499421', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2008-2-25', 'saleTransDate': '2008-2-25', 'amount': {'saleamt': 0, 'saledisclosuretype': 2, 'saledocnum': '0000122196', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'amount': {'saleamt': 0, 'saledisclosuretype': 2, 'saledocnum': '000W988928', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'amount': {'saleamt': 0, 'saledisclosuretype': 2, 'saledocnum': '000W988930', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}]",null,null
131247,2019-01-03T08:27:36.050-08:00,726 Connecticut Ave,Norwalk,CT,06854,"726 Connecticut Ave, Norwalk, CT 06854",65.41658451038086,"{staining,pool,rust,damage,ponding,material,overhang,shape,shape,patching,debris,wear}","{None,""No Swimming Pool"",None,Undamaged,None,""Asphalt Shingle"",Low,Hip,Flat,Moderate,Moderate,No}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131247/VP1GmE1tJ.jpeg,"[{'salesearchdate': '1987-7-29', 'amount': {'saleamt': 0, 'salerecdate': '1987-7-29', 'saledisclosuretype': 0, 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2012-3-5', 'amount': {'saleamt': 1, 'salerecdate': '2012-3-5', 'saledisclosuretype': 0, 'saledocnum': '7547-158', 'saletranstype': 'Resale'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}]",null,null
131248,2019-01-03T08:29:33.102-08:00,19210 I-10,San Antonio,TX,78257,"19210 I-10, San Antonio, TX 78257",96.23759797847491,"{shape,overhang,material,ponding,damage,rust,pool,staining,wear,patching,debris}","{Flat,None,PVC/TPO,None,Undamaged,None,""No Swimming Pool"",Minor,No,None,None}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131248/2-cMgXi6C.jpeg,[],null,null
131249,2019-01-03T08:31:31.320-08:00,310 Ardmore Hwy,Fayetteville,TN,37334,"310 Ardmore Hwy, Fayetteville, TN 37334",99.71570377673383,"{ponding,damage,rust,pool,staining,wear,patching,debris,overhang,shape,material}","{None,Undamaged,None,""No Swimming Pool"",None,No,None,None,None,Gable,""Metal Panel""}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131249/nQEVDZjSj.jpeg,"[{'salesearchdate': '2017-5-30', 'saleTransDate': '2017-5-30', 'amount': {'saleamt': 47100, 'salerecdate': '2017-6-2', 'saledisclosuretype': 0, 'saledocnum': '0000002244', 'saletranstype': 'Resale'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 31}}, {'salesearchdate': '2014-7-31', 'saleTransDate': '2014-7-31', 'amount': {'saleamt': 45000, 'salerecdate': '2014-7-31', 'saledisclosuretype': 0, 'saledocnum': '0000003127', 'saletranstype': 'REO (Transfer to Lender)'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 30}}, {'salesearchdate': '2010-7-23', 'saleTransDate': '2010-7-23', 'amount': {'saleamt': 43500, 'salerecdate': '2010-7-29', 'saledisclosuretype': 0, 'saledocnum': '0000003083', 'saletranstype': 'Resale'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 29}}, {'salesearchdate': '2010-3-10', 'saleTransDate': '2010-3-10', 'amount': {'saleamt': 41444, 'salerecdate': '2010-3-15', 'saledisclosuretype': 0, 'saledocnum': '0000001032', 'saletranstype': 'REO (Transfer to Lender)'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 28}}, {'salesearchdate': '2006-12-15', 'saleTransDate': '2006-12-15', 'amount': {'saleamt': 76000, 'salerecdate': '2006-12-21', 'saledisclosuretype': 0, 'saledocnum': '0000007337', 'saletranstype': 'Resale'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 51}}]",null,null
131250,2019-01-03T08:35:09.138-08:00,305 N Grove St,Blue Earth,MN,56013,"305 N Grove St, Blue Earth, MN 56013",76.00382175969976,"{shape,overhang,material,ponding,damage,rust,pool,staining,wear,patching,debris}","{Flat,None,""Rolled Asphalt"",None,Undamaged,None,""No Swimming Pool"",None,Probable,None,None}",https://s3-us-west-2.amazonaws.com/prod-betterview/masked/static/131250/D2AUe9f_4.jpeg,[],null,null
