street,city,state,zip,sales
208 NUTT RD,DAYTON,OH,45458,"{'status': {'version': '1.0.0', 'code': 0, 'msg': 'SuccessWithResult', 'total': 1, 'page': 1, 'pagesize': 10}, 'property': [{'identifier': {'obPropId': 18242770839113, 'fips': '39113', 'apn': 'O67 03810 0018', 'apnOrig': 'O67038100018', 'attomId': 182427708}, 'lot': {'depth': 0, 'frontage': 0, 'lotnum': '18', 'lotsize1': 15.567, 'lotsize2': 678099, 'pooltype': 'NONE'}, 'area': {'countrysecsubd': 'Montgomery County', 'countyuse1': '685', 'muncode': 'MO', 'munname': 'MONTGOMERY', 'subdname': 'MRS', 'subdtractnum': '0', 'taxcodearea': '0'}, 'address': {'country': 'US', 'countrySubd': 'OH', 'line1': '208 NUTT RD', 'line2': 'DAYTON, OH 45458', 'locality': 'Dayton', 'matchCode': 'ExaStr', 'oneLine': '208 NUTT RD, DAYTON, OH 45458', 'postal1': '45458', 'postal2': '9344', 'postal3': 'R005'}, 'location': {'accuracy': 'Street', 'elevation': 0.0, 'latitude': '39.598413', 'longitude': '-84.158847', 'distance': 0.0, 'geoid': 'CO39113, CS3981494, DB3904373, MT30001281, SB0000108078, SB0000108082, SB0000108087, SB0000108089, ZI45458'}, 'summary': {'absenteeInd': 'OWNER OCCUPIED', 'propclass': 'Exempt', 'propsubtype': 'RESIDENTIAL', 'proptype': 'RELIGIOUS', 'yearbuilt': 0, 'propLandUse': 'RELIGIOUS', 'propIndicator': '90'}, 'utilities': {'energyType': 'AVAILABLE'}, 'building': {'size': {'bldgsize': 0, 'grosssize': 0, 'grosssizeadjusted': 0, 'groundfloorsize': 0, 'livingsize': 0, 'sizeInd': 'BUILDING SQFT ', 'universalsize': 0}, 'rooms': {'bathfixtures': 0, 'baths1qtr': 0, 'baths3qtr': 0, 'bathscalc': 0.0, 'bathsfull': 0, 'bathshalf': 0, 'bathstotal': 0.0, 'beds': 0, 'roomsTotal': 0}, 'interior': {'bsmtsize': 0, 'fplccount': 0}, 'construction': {}, 'parking': {'prkgSize': 0}, 'summary': {'bldgsNum': 1, 'bldgType': 'TYPE UNKNOWN', 'imprType': 'RESIDENTIAL', 'levels': 0, 'mobileHomeInd': ' ', 'storyDesc': 'TYPE UNKNOWN', 'unitsCount': '0', 'yearbuilteffective': 0}}, 'vintage': {'lastModified': '2018-7-19', 'pubDate': '2018-7-24'}, 'salehistory': [{'salesearchdate': '2015-10-16', 'saleTransDate': '2015-10-16', 'amount': {'saleamt': 0, 'salerecdate': '2015-10-23', 'saledisclosuretype': 0, 'saledocnum': '0000058985', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2006-4-19', 'saleTransDate': '2006-4-19', 'amount': {'saleamt': 0, 'saledisclosuretype': 0, 'saledocnum': '0000039039', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}]}]}"
1020 TULLAR RD,NEENAH,WI,54956,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
97 LITTLE NECK RD,CENTERPORT,NY,11721,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
111 PARK AVE,WORCESTER,MA,01609,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
1506 W ROBINSON AVE,SPRINGDALE,AR,72764,"{'status': {'version': '1.0.0', 'code': 0, 'msg': 'SuccessWithResult', 'total': 1, 'page': 1, 'pagesize': 10}, 'property': [{'identifier': {'obPropId': 23072002005143, 'fips': '05143', 'apn': '815-28989-000', 'attomId': 230720020}, 'lot': {'depth': 0, 'frontage': 0, 'lotsize1': 0.0, 'lotsize2': 0}, 'area': {'countrysecsubd': 'Washington County', 'countyuse1': 'ER', 'muncode': 'WA', 'munname': 'WASHINGTON', 'subdname': 'SPRINGDALE OUTLOTS'}, 'address': {'country': 'US', 'countrySubd': 'AR', 'line1': '1506 W ROBINSON AVE', 'line2': 'SPRINGDALE, AR 72764', 'locality': 'Springdale', 'matchCode': 'ExaStr', 'oneLine': '1506 W ROBINSON AVE, SPRINGDALE, AR 72764', 'postal1': '72764', 'postal2': '0944', 'postal3': 'C025'}, 'location': {'accuracy': 'Street', 'elevation': 0.0, 'latitude': '36.167617', 'longitude': '-94.147125', 'distance': 0.0, 'geoid': 'CO05143, CS0593465, DB0512660, MT30001538, PL0566080, SB0000067017, SB0000067024, SB0000067026, SB0000067031, ZI72764'}, 'summary': {'propclass': 'Exempt', 'proptype': 'RELIGIOUS', 'yearbuilt': 0, 'propLandUse': 'RELIGIOUS', 'propIndicator': '90'}, 'utilities': {}, 'building': {'size': {'bldgsize': 0, 'grosssize': 0, 'grosssizeadjusted': 0, 'groundfloorsize': 0, 'livingsize': 0, 'sizeInd': 'BUILDING SQFT ', 'universalsize': 0}, 'rooms': {'bathfixtures': -1, 'baths1qtr': 0, 'baths3qtr': 0, 'bathscalc': 0.0, 'bathsfull': 0, 'bathshalf': 0, 'bathstotal': 0.0, 'beds': 0, 'roomsTotal': 0}, 'interior': {'bsmtsize': 0, 'fplccount': 0}, 'construction': {}, 'parking': {'prkgSize': 0}, 'summary': {'bldgsNum': 0, 'levels': 0, 'mobileHomeInd': ' ', 'unitsCount': '0', 'yearbuilteffective': 0}}, 'vintage': {'lastModified': '2019-5-17', 'pubDate': '2019-5-17'}, 'salehistory': [{'amount': {'saleamt': 0, 'saledisclosuretype': 0, 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}]}]}"
3130 GARFIELD RD,JAMESTOWN,NY,14701,"{'status': {'version': '1.0.0', 'code': 0, 'msg': 'SuccessWithResult', 'total': 1, 'page': 1, 'pagesize': 10}, 'property': [{'identifier': {'obPropId': 3264599736013, 'fips': '36013', 'apn': '062289 403.08-2-49', 'attomId': 32645997}, 'lot': {'depth': 0, 'frontage': 0, 'lotnum': '049', 'lotsize1': 11.3, 'lotsize2': 492228}, 'area': {'blockNum': '0002', 'countrysecsubd': 'Chautauqua County', 'countyuse1': '620     ', 'muncode': 'CH', 'munname': 'CHAUTAUQUA'}, 'address': {'country': 'US', 'countrySubd': 'NY', 'line1': '3130 GARFIELD RD', 'line2': 'JAMESTOWN, NY 14701', 'locality': 'Jamestown', 'matchCode': 'ExaStr', 'oneLine': '3130 GARFIELD RD, JAMESTOWN, NY 14701', 'postal1': '14701', 'postal2': '9464', 'postal3': 'R004'}, 'location': {'accuracy': 'Street', 'elevation': 0.0, 'latitude': '42.072654', 'longitude': '-79.262507', 'distance': 0.0, 'geoid': 'CO36013,CS3611451,DB3615630,MT30002019,SB0000105388,ZI14701'}, 'summary': {'absenteeInd': 'OWNER OCCUPIED', 'propclass': 'Exempt', 'proptype': 'RELIGIOUS', 'yearbuilt': 1999, 'propLandUse': 'RELIGIOUS', 'propIndicator': '90'}, 'utilities': {'sewertype': 'Septic', 'watertype': 'Well'}, 'building': {'size': {'bldgsize': 0, 'grosssize': 0, 'grosssizeadjusted': 4180, 'groundfloorsize': 0, 'livingsize': 4180, 'sizeInd': 'BUILDING SQFT ', 'universalsize': 0}, 'rooms': {'bathfixtures': 0, 'baths1qtr': 0, 'baths3qtr': 0, 'bathscalc': 0.0, 'bathsfull': 0, 'bathshalf': 0, 'bathstotal': 0.0, 'beds': 0, 'roomsTotal': 0}, 'interior': {'bsmtsize': 0, 'fplccount': 0}, 'construction': {'condition': 'GOOD'}, 'parking': {'prkgSize': 0}, 'summary': {'bldgsNum': 3, 'levels': 1, 'mobileHomeInd': ' ', 'unitsCount': '0', 'yearbuilteffective': 0}}, 'vintage': {'lastModified': '2018-1-27', 'pubDate': '2018-1-27'}, 'salehistory': [{'salesearchdate': '2009-2-18', 'saleTransDate': '2009-2-18', 'amount': {'saleamt': 0, 'salerecdate': '2009-2-18', 'saledisclosuretype': 0, 'saletranstype': 'Resale'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2007-6-7', 'saleTransDate': '2007-6-7', 'amount': {'saleamt': 345000, 'salerecdate': '2007-6-8', 'saledisclosuretype': 0, 'saletranstype': 'Resale'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'amount': {'saleamt': 0, 'saledisclosuretype': 0, 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'amount': {'saleamt': 0, 'saledisclosuretype': 0, 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'amount': {'saleamt': 0, 'saledisclosuretype': 0, 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}]}]}"
47151 BETTY ST,UTICA,MI,48317,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
4716 WICHITA ST,FORT WORTH,TX,76119,"{'status': {'version': '1.0.0', 'code': 0, 'msg': 'SuccessWithResult', 'total': 1, 'page': 1, 'pagesize': 10}, 'property': [{'identifier': {'obPropId': 32402756448439, 'fips': '48439', 'apn': '42224436', 'apnOrig': '42224436', 'attomId': 324027564}, 'lot': {'depth': 0, 'frontage': 0, 'lotnum': '3R', 'lotsize1': 1.832, 'lotsize2': 79801, 'pooltype': 'NONE'}, 'area': {'blockNum': '9', 'countrysecsubd': 'Tarrant County', 'countyuse1': 'F1', 'muncode': 'TA', 'munname': 'TARRANT', 'subdname': 'TRUELAND ADD', 'subdtractnum': '0', 'taxcodearea': '220'}, 'address': {'country': 'US', 'countrySubd': 'TX', 'line1': '4716 WICHITA ST', 'line2': 'FORT WORTH, TX 76119', 'locality': 'Fort Worth', 'matchCode': 'ExaStr', 'oneLine': '4716 WICHITA ST, FORT WORTH, TX 76119', 'postal1': '76119', 'postal2': '4848', 'postal3': 'C039'}, 'location': {'accuracy': 'Street', 'elevation': 0.0, 'latitude': '32.693852', 'longitude': '-97.280473', 'distance': 0.0, 'geoid': 'CO48439, CS4891380, DB4819700, MT30004273, ND0000130282, PL4827000, ZI76119'}, 'summary': {'absenteeInd': 'OWNER OCCUPIED', 'propclass': 'Commercial', 'propsubtype': 'RESIDENTIAL', 'proptype': 'COMMON AREA', 'yearbuilt': 1984, 'propLandUse': 'COMMON AREA', 'propIndicator': '20'}, 'utilities': {}, 'building': {'size': {'bldgsize': 0, 'grosssize': 0, 'grosssizeadjusted': 16994, 'groundfloorsize': 0, 'livingsize': 16994, 'sizeInd': 'BUILDING SQFT ', 'universalsize': 0}, 'rooms': {'bathfixtures': 0, 'baths1qtr': 0, 'baths3qtr': 0, 'bathscalc': 0.0, 'bathsfull': 0, 'bathshalf': 0, 'bathstotal': 0.0, 'beds': 0, 'roomsTotal': 0}, 'interior': {'bsmtsize': 0, 'fplccount': 0}, 'construction': {}, 'parking': {'prkgSize': 0}, 'summary': {'bldgsNum': 0, 'bldgType': 'TYPE UNKNOWN', 'imprType': 'RESIDENTIAL', 'levels': 1, 'mobileHomeInd': ' ', 'storyDesc': 'TYPE UNKNOWN', 'unitsCount': '0', 'yearbuilteffective': 0}}, 'vintage': {'lastModified': '2018-7-19', 'pubDate': '2018-7-24'}, 'salehistory': [{'salesearchdate': '2016-11-21', 'saleTransDate': '2016-11-21', 'amount': {'saleamt': 0, 'saledisclosuretype': 2, 'saledocnum': '0000280275', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2004-9-28', 'saleTransDate': '2004-9-28', 'amount': {'saleamt': 0, 'saledisclosuretype': 2, 'saledocnum': '0000314954', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}]}]}"
956 E JEFFERSON AVE,FORT WORTH,TX,76104,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
1701 N MAIN ST,HUTCHINSON,KS,67502,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
496 MAIN ST,MEDFIELD,MA,02052,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
