street,city,state,zip,sales
39270 W. Huron Dr,Romulus,MI,48174,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
252 S MAIN ST,LAPEER,MI,48446,"{'status': {'version': '1.0.0', 'code': 0, 'msg': 'SuccessWithResult', 'total': 1, 'page': 1, 'pagesize': 10}, 'property': [{'identifier': {'obPropId': 17297707326087, 'fips': '26087', 'apn': 'L215630004010', 'apnOrig': 'L215630004010', 'attomId': 172977073}, 'lot': {'depth': 0, 'frontage': 0, 'lotnum': '32', 'lotsize1': 0.32, 'lotsize2': 13939, 'pooltype': 'NONE'}, 'area': {'countrysecsubd': 'Lapeer County', 'countyuse1': '347', 'muncode': 'LA', 'munname': 'LAPEER', 'subdname': 'CITY OF LAPEER B OF WHITESVILL', 'subdtractnum': '0', 'taxcodearea': '0'}, 'address': {'country': 'US', 'countrySubd': 'MI', 'line1': '252 S MAIN ST', 'line2': 'LAPEER, MI 48446', 'locality': 'Lapeer', 'matchCode': 'ExaStr', 'oneLine': '252 S MAIN ST, LAPEER, MI 48446', 'postal1': '48446', 'postal2': '2425', 'postal3': 'C009'}, 'location': {'accuracy': 'Street', 'elevation': 0.0, 'latitude': '43.047423', 'longitude': '-83.319038', 'distance': 0.0, 'geoid': 'CO26087, CS2646040, DB2621180, PL2646040, SB0000094011, SB0000094013, SB0000094014, SB0000094017, ZI48446'}, 'summary': {'absenteeInd': 'OWNER OCCUPIED', 'propclass': 'Commercial', 'propsubtype': 'RESIDENTIAL', 'proptype': 'COMMON AREA', 'yearbuilt': 0, 'propLandUse': 'COMMON AREA', 'propIndicator': '20'}, 'utilities': {}, 'building': {'size': {'bldgsize': 0, 'grosssize': 0, 'grosssizeadjusted': 0, 'groundfloorsize': 0, 'livingsize': 0, 'sizeInd': 'BUILDING SQFT ', 'universalsize': 0}, 'rooms': {'bathfixtures': 0, 'baths1qtr': 0, 'baths3qtr': 0, 'bathscalc': 0.0, 'bathsfull': 0, 'bathshalf': 0, 'bathstotal': 0.0, 'beds': 0, 'roomsTotal': 0}, 'interior': {'bsmtsize': 0, 'fplccount': 0}, 'construction': {}, 'parking': {'prkgSize': 0}, 'summary': {'bldgsNum': 0, 'bldgType': 'TYPE UNKNOWN', 'imprType': 'RESIDENTIAL', 'levels': 0, 'mobileHomeInd': ' ', 'storyDesc': 'TYPE UNKNOWN', 'unitsCount': '0', 'yearbuilteffective': 0}}, 'vintage': {'lastModified': '2018-7-19', 'pubDate': '2018-7-24'}, 'salehistory': [{'salesearchdate': '2017-6-16', 'saleTransDate': '2017-6-16', 'amount': {'saleamt': 0, 'saledisclosuretype': 0, 'saledocnum': '0029010519', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2016-11-3', 'saleTransDate': '2016-11-3', 'amount': {'saleamt': 0, 'salerecdate': '2016-11-10', 'saledisclosuretype': 0, 'saletranstype': 'Nominal - Non/Arms Length Sale'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2006-11-17', 'saleTransDate': '2006-11-17', 'amount': {'saleamt': 0, 'saledisclosuretype': 0, 'saledocnum': '0022200119', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}]}]}"
508 S. Division St,Ann Arbor,MI,48104,"{'status': {'version': '1.0.0', 'code': 0, 'msg': 'SuccessWithResult', 'total': 1, 'page': 1, 'pagesize': 10}, 'property': [{'identifier': {'obPropId': 17244165226161, 'fips': '26161', 'apn': '090929436007', 'apnOrig': '90929436007', 'attomId': 172441652}, 'lot': {'depth': 132, 'frontage': 66, 'lotnum': '6', 'lotsize1': 0.2, 'lotsize2': 8712, 'pooltype': 'NONE'}, 'area': {'blockNum': '5S', 'countrysecsubd': 'Washtenaw County', 'countyuse1': '347', 'muncode': 'WA', 'munname': 'WASHTENAW', 'srvyRange': '06E', 'srvySection': '09', 'srvyTownship': '02S', 'subdname': 'ANN ARBOR LAND COS ADD', 'subdtractnum': '0', 'taxcodearea': '99025'}, 'address': {'country': 'US', 'countrySubd': 'MI', 'line1': '508 S DIVISION ST', 'line2': 'ANN ARBOR, MI 48104', 'locality': 'Ann Arbor', 'matchCode': 'ExaStr', 'oneLine': '508 S DIVISION ST, ANN ARBOR, MI 48104', 'postal1': '48104', 'postal2': '2985', 'postal3': 'C001'}, 'location': {'accuracy': 'Street', 'elevation': 0.0, 'latitude': '42.276040', 'longitude': '-83.744405', 'distance': 0.0, 'geoid': 'CO26161, CS2603000, DB2602820, MT30000521, ND0000555818, ND0002317692, PL2603000, SB0000092938, SB0000092943, SB0000092946, ZI48104'}, 'summary': {'absenteeInd': 'ABSENTEE(MAIL AND SITUS NOT =)', 'propclass': 'Commercial', 'propsubtype': 'RESIDENTIAL', 'proptype': 'COMMON AREA', 'yearbuilt': 1965, 'propLandUse': 'COMMON AREA', 'propIndicator': '20'}, 'utilities': {}, 'building': {'size': {'bldgsize': 6006, 'grosssize': 6006, 'grosssizeadjusted': 6006, 'groundfloorsize': 0, 'livingsize': 6006, 'sizeInd': 'BUILDING SQFT ', 'universalsize': 6006}, 'rooms': {'bathfixtures': 0, 'baths1qtr': 0, 'baths3qtr': 0, 'bathscalc': 0.0, 'bathsfull': 0, 'bathshalf': 0, 'bathstotal': 0.0, 'beds': 0, 'roomsTotal': 0}, 'interior': {'bsmtsize': 0, 'fplccount': 0, 'fplcind': 'Y', 'fplctype': 'YES'}, 'construction': {'frameType': 'TYPE UNKNOWN', 'wallType': 'BRICK'}, 'parking': {'prkgSize': 0}, 'summary': {'bldgsNum': 1, 'bldgType': 'TYPE UNKNOWN', 'imprType': 'RESIDENTIAL', 'levels': 0, 'mobileHomeInd': ' ', 'storyDesc': 'TYPE UNKNOWN', 'unitsCount': '0', 'yearbuilteffective': 0}}, 'vintage': {'lastModified': '2018-1-27', 'pubDate': '2018-1-27'}, 'salehistory': [{'salesearchdate': '2013-10-17', 'saleTransDate': '2013-10-17', 'amount': {'saleamt': 0, 'salerecdate': '2013-11-12', 'saledisclosuretype': 0, 'saledocnum': '0006176143', 'saletranstype': 'Resale'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'amount': {'saleamt': 0, 'saledisclosuretype': 0, 'saledocnum': '0038830827', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}]}]}"
25920 GATEWAY DR,ZIMMERMAN,MN,55398,"{'status': {'version': '1.0.0', 'code': 0, 'msg': 'SuccessWithResult', 'total': 1, 'page': 1, 'pagesize': 10}, 'property': [{'identifier': {'obPropId': 15511545127141, 'fips': '27141', 'apn': '950162105', 'apnOrig': '950162105', 'attomId': 155115451}, 'lot': {'depth': 0, 'frontage': 0, 'lotnum': '12', 'lotsize1': 2.0, 'lotsize2': 87120, 'pooltype': 'NONE'}, 'area': {'blockNum': '1', 'countrysecsubd': 'Sherburne County', 'countyuse1': '233', 'muncode': 'SH', 'munname': 'SHERBURNE', 'srvyRange': '26', 'srvySection': '16', 'srvyTownship': '34', 'subdname': 'R B J INDUSTRIES INC', 'subdtractnum': '0', 'taxcodearea': '95'}, 'address': {'country': 'US', 'countrySubd': 'MN', 'line1': '25920 GATEWAY DR', 'line2': 'ZIMMERMAN, MN 55398', 'locality': 'Zimmerman', 'matchCode': 'ExaStr', 'oneLine': '25920 GATEWAY DR, ZIMMERMAN, MN 55398', 'postal1': '55398', 'postal2': '9303', 'postal3': 'R008'}, 'location': {'accuracy': 'Street', 'elevation': 0.0, 'latitude': '45.440214', 'longitude': '-93.583893', 'distance': 0.0, 'geoid': 'CO27141, CS2772238, DB2711370, PL2772238, SB0000095229, SB0000095234, SB0000095235, SB0000095238, ZI55398'}, 'summary': {'absenteeInd': 'ABSENTEE(MAIL AND SITUS NOT =)', 'propclass': 'Commercial', 'propsubtype': 'RESIDENTIAL', 'proptype': 'COMMON AREA', 'yearbuilt': 0, 'propLandUse': 'COMMON AREA', 'propIndicator': '20'}, 'utilities': {}, 'building': {'size': {'bldgsize': 0, 'grosssize': 0, 'grosssizeadjusted': 0, 'groundfloorsize': 0, 'livingsize': 0, 'sizeInd': 'BUILDING SQFT ', 'universalsize': 0}, 'rooms': {'bathfixtures': 0, 'baths1qtr': 0, 'baths3qtr': 0, 'bathscalc': 0.0, 'bathsfull': 0, 'bathshalf': 0, 'bathstotal': 0.0, 'beds': 0, 'roomsTotal': 0}, 'interior': {'bsmtsize': 0, 'fplccount': 0}, 'construction': {'condition': 'AVERAGE', 'foundationtype': 'SLAB', 'frameType': 'TYPE UNKNOWN', 'wallType': 'STUCCO'}, 'parking': {'prkgSize': 0}, 'summary': {'bldgsNum': 0, 'bldgType': 'TYPE UNKNOWN', 'imprType': 'RESIDENTIAL', 'levels': 0, 'mobileHomeInd': ' ', 'storyDesc': 'TYPE UNKNOWN', 'unitsCount': '0', 'yearbuilteffective': 0}}, 'vintage': {'lastModified': '2018-9-7', 'pubDate': '2018-9-7'}, 'salehistory': [{'salesearchdate': '2018-2-2', 'saleTransDate': '2018-2-2', 'amount': {'saleamt': 0, 'saledisclosuretype': 0, 'saledocnum': '0000852168', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2014-7-8', 'saleTransDate': '2014-7-8', 'amount': {'saleamt': 339900, 'salerecdate': '2014-7-9', 'saledisclosuretype': 0, 'saledocnum': '0000789921', 'saletranstype': 'Resale'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2010-1-21', 'saleTransDate': '2010-1-21', 'amount': {'saleamt': 2291053, 'salerecdate': '2010-1-22', 'saledisclosuretype': 0, 'saledocnum': '0000707235', 'saletranstype': 'REO (Transfer to Lender)'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2007-5-23', 'saleTransDate': '2007-5-23', 'amount': {'saleamt': 500000, 'salerecdate': '2007-5-25', 'saledisclosuretype': 0, 'saledocnum': '0000075211', 'saletranstype': 'Resale'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}]}]}"
2231 N. Collins Street,Arlington,TX,76011,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
448 Post Rd,Buchanan,MI,49107,"{'status': {'version': '1.0.0', 'code': 0, 'msg': 'SuccessWithResult', 'total': 1, 'page': 1, 'pagesize': 10}, 'property': [{'identifier': {'obPropId': 28856496926021, 'fips': '26021', 'apn': '11-58-0615-0004-00-2', 'attomId': 288564969}, 'lot': {'depth': 0, 'frontage': 0, 'lotnum': '4', 'lotsize1': 0.0, 'lotsize2': 0}, 'area': {'countrysecsubd': 'Berrien County', 'countyuse1': '301'}, 'address': {'country': 'US', 'countrySubd': 'MI', 'line1': '448 POST RD', 'line2': 'BUCHANAN, MI 49107', 'locality': 'Buchanan', 'matchCode': 'ExaStr', 'oneLine': '448 POST RD, BUCHANAN, MI 49107', 'postal1': '49107', 'postal2': '1052', 'postal3': 'C001'}, 'location': {'accuracy': 'Street', 'elevation': 0.0, 'latitude': '41.820231', 'longitude': '-86.381789', 'distance': 0.0, 'geoid': 'CO26021, CS2611400, DB2607140, PL2611400, SB0000093110, SB0000093111, SB0000093112, SB0000093113, SB0000093114, ZI49107'}, 'summary': {'propclass': 'Industrial', 'proptype': 'INDUSTRIAL (NEC)', 'yearbuilt': 0, 'propLandUse': 'INDUSTRIAL (NEC)', 'propIndicator': '50'}, 'utilities': {}, 'building': {'size': {'bldgsize': 0, 'grosssize': 0, 'grosssizeadjusted': 0, 'groundfloorsize': 0, 'livingsize': 0, 'sizeInd': 'BUILDING SQFT ', 'universalsize': 0}, 'rooms': {'bathfixtures': -1, 'baths1qtr': 0, 'baths3qtr': 0, 'bathscalc': 0.0, 'bathsfull': 0, 'bathshalf': 0, 'bathstotal': 0.0, 'beds': 0, 'roomsTotal': 0}, 'interior': {'bsmtsize': 0, 'fplccount': 0}, 'construction': {}, 'parking': {'prkgSize': 0}, 'summary': {'bldgsNum': 0, 'levels': 0, 'mobileHomeInd': ' ', 'unitsCount': '0', 'yearbuilteffective': 0}}, 'vintage': {'lastModified': '2018-7-27', 'pubDate': '2018-7-27'}, 'salehistory': [{'salesearchdate': '2018-5-1', 'saleTransDate': '2018-5-1', 'amount': {'saleamt': 0, 'salerecdate': '2018-5-29', 'saledisclosuretype': 0, 'saletranstype': 'Resale'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}]}]}"
101 S Main St.,Minot,ND,58701,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
320 N Harrison St,Cortez,CO,81321,"{'status': {'version': '1.0.0', 'code': 0, 'msg': 'SuccessWithResult', 'total': 1, 'page': 1, 'pagesize': 10}, 'property': [{'identifier': {'obPropId': 29172081408083, 'fips': '08083', 'apn': '561126129001', 'attomId': 291720814}, 'lot': {'depth': 0, 'frontage': 0, 'lotnum': '1', 'lotsize1': 3.02, 'lotsize2': 131551}, 'area': {'countrysecsubd': 'Montezuma County', 'subdname': 'AMERICAN LEGION MINOR'}, 'address': {'country': 'US', 'countrySubd': 'CO', 'line1': '320 N HARRISON ST', 'line2': 'CORTEZ, CO 81321', 'locality': 'Cortez', 'matchCode': 'ExaStr', 'oneLine': '320 N HARRISON ST, CORTEZ, CO 81321', 'postal1': '81321', 'postal2': '2826', 'postal3': 'C004'}, 'location': {'accuracy': 'Street', 'elevation': 0.0, 'latitude': '37.352144', 'longitude': '-108.578509', 'distance': 0.0, 'geoid': 'CO08083, CS0890817, DB0803090, PL0817375, SB0000075933, ZI81321'}, 'summary': {'absenteeInd': 'ABSENTEE(MAIL AND SITUS NOT =)', 'propclass': 'Vacant', 'proptype': 'VACANT LAND (NEC)', 'yearbuilt': 0, 'propLandUse': 'VACANT LAND (NEC)', 'propIndicator': '80'}, 'utilities': {}, 'building': {'size': {'bldgsize': 0, 'grosssize': 0, 'grosssizeadjusted': 0, 'groundfloorsize': 0, 'livingsize': 0, 'sizeInd': 'LIVING SQFT ', 'universalsize': 0}, 'rooms': {'bathfixtures': 0, 'baths1qtr': 0, 'baths3qtr': 0, 'bathscalc': 0.0, 'bathsfull': 0, 'bathshalf': 0, 'bathstotal': 0.0, 'beds': 0, 'roomsTotal': 0}, 'interior': {'bsmtsize': 0, 'fplccount': 0}, 'construction': {}, 'parking': {'prkgSize': 0}, 'summary': {'bldgsNum': 0, 'levels': 0, 'mobileHomeInd': ' ', 'unitsCount': '0', 'yearbuilteffective': 0}}, 'vintage': {'lastModified': '2018-1-27', 'pubDate': '2018-1-27'}, 'salehistory': [{'salesearchdate': '2005-8-23', 'saleTransDate': '2005-8-23', 'amount': {'saleamt': 480000, 'salerecdate': '2005-8-23', 'saledisclosuretype': 0, 'saledocnum': '534066', 'saletranstype': 'Resale'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'amount': {'saleamt': 0, 'saledisclosuretype': 0, 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'amount': {'saleamt': 0, 'saledisclosuretype': 0, 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'amount': {'saleamt': 0, 'saledisclosuretype': 0, 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'amount': {'saleamt': 0, 'saledisclosuretype': 0, 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'amount': {'saleamt': 0, 'saledisclosuretype': 0, 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'amount': {'saleamt': 0, 'saledisclosuretype': 0, 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}]}]}"
75 27TH ST. W,BILLINGS,MT,59102,"{'status': {'version': '1.0.0', 'code': 0, 'msg': 'SuccessWithResult', 'total': 1, 'page': 1, 'pagesize': 10}, 'property': [{'identifier': {'obPropId': 19633461930111, 'fips': '30111', 'apn': '03092601401120000', 'apnOrig': '3092601401120000', 'attomId': 196334619}, 'lot': {'depth': 0, 'frontage': 0, 'lotnum': '1A', 'lotsize1': 0.693, 'lotsize2': 30187, 'pooltype': 'NONE'}, 'area': {'blockNum': '2', 'countrysecsubd': 'Yellowstone County', 'countyuse1': 'IMP_', 'muncode': 'YE', 'munname': 'YELLOWSTONE', 'srvyRange': '25E', 'srvySection': '01', 'srvyTownship': '01S', 'subdname': 'DESCRO - CENTRAL', 'subdtractnum': '0', 'taxcodearea': '965'}, 'address': {'country': 'US', 'countrySubd': 'MT', 'line1': '75 27TH ST W', 'line2': 'BILLINGS, MT 59102', 'locality': 'Billings', 'matchCode': 'ExaStr', 'oneLine': '75 27TH ST W, BILLINGS, MT 59102', 'postal1': '59102', 'postal2': '6656', 'postal3': 'C087'}, 'location': {'accuracy': 'Street', 'elevation': 0.0, 'latitude': '45.771367', 'longitude': '-108.584528', 'distance': 0.0, 'geoid': 'CO30111, CS3090315, DB3003870, DB3003900, MT30000718, ND0004683340, PL3006550, SB0000098571, SB0000098586, SB0000098589, ZI59102'}, 'summary': {'absenteeInd': 'ABSENTEE(MAIL AND SITUS NOT =)', 'propclass': 'Single Family Residence / Townhouse', 'propsubtype': 'COMMERCIAL', 'proptype': 'SFR', 'yearbuilt': 1989, 'propLandUse': 'SFR', 'propIndicator': '10'}, 'utilities': {'coolingtype': 'AC.CENTRAL', 'heatingtype': 'STEAM'}, 'building': {'size': {'bldgsize': 6324, 'grosssize': 6324, 'grosssizeadjusted': 6324, 'groundfloorsize': 4780, 'livingsize': 6324, 'sizeInd': 'LIVING SQFT ', 'universalsize': 6324}, 'rooms': {'bathfixtures': 0, 'baths1qtr': 0, 'baths3qtr': 0, 'bathscalc': 0.0, 'bathsfull': 0, 'bathshalf': 0, 'bathstotal': 0.0, 'beds': 0, 'roomsTotal': 0}, 'interior': {'bsmtsize': 1544, 'bsmttype': 'UNFINISHED', 'fplccount': 0}, 'construction': {'condition': 'AVERAGE', 'constructiontype': 'WOOD', 'frameType': 'WOOD', 'wallType': 'BRICK/STONE'}, 'parking': {'prkgSize': 0}, 'summary': {'bldgsNum': 1, 'bldgType': 'COMMERCIAL', 'imprType': 'COMMERCIAL', 'levels': 1, 'mobileHomeInd': ' ', 'storyDesc': 'COMMERCIAL', 'unitsCount': '0', 'yearbuilteffective': 0}}, 'vintage': {'lastModified': '2018-7-19', 'pubDate': '2018-7-24'}, 'salehistory': [{'salesearchdate': '2018-1-9', 'saleTransDate': '2018-1-9', 'amount': {'saleamt': 0, 'saledisclosuretype': 2, 'saledocnum': '0003846013', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2017-12-19', 'saleTransDate': '2017-12-19', 'amount': {'saleamt': 0, 'saledisclosuretype': 2, 'saledocnum': '0003837100', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2016-6-27', 'saleTransDate': '2016-6-27', 'amount': {'saleamt': 0, 'saledisclosuretype': 2, 'saledocnum': '0003781977', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2016-6-27', 'saleTransDate': '2016-6-27', 'amount': {'saleamt': 0, 'saledisclosuretype': 2, 'saledocnum': '0003784149', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2013-10-15', 'saleTransDate': '2013-10-15', 'amount': {'saleamt': 0, 'salerecdate': '2013-10-16', 'saledisclosuretype': 2, 'saledocnum': '0003687092', 'saletranstype': 'Construction Loan/Financing'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2012-12-3', 'saleTransDate': '2012-12-3', 'amount': {'saleamt': 0, 'saledisclosuretype': 2, 'saledocnum': '0003648756', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2012-11-14', 'saleTransDate': '2012-11-14', 'amount': {'saleamt': 0, 'saledisclosuretype': 2, 'saledocnum': '0003646369', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2012-3-21', 'saleTransDate': '2012-3-21', 'amount': {'saleamt': 0, 'saledisclosuretype': 2, 'saledocnum': '0003618116', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2007-12-28', 'saleTransDate': '2007-12-28', 'amount': {'saleamt': 0, 'salerecdate': '2007-12-31', 'saledisclosuretype': 2, 'saledocnum': '0003450091', 'saletranstype': 'Nominal - Non/Arms Length Sale'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2007-12-12', 'saleTransDate': '2007-12-12', 'amount': {'saleamt': 0, 'saledisclosuretype': 2, 'saledocnum': '0003448432', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'salesearchdate': '2007-5-15', 'saleTransDate': '2007-5-15', 'amount': {'saleamt': 0, 'salerecdate': '2007-5-16', 'saledisclosuretype': 2, 'saledocnum': '0003422936', 'saletranstype': 'Resale'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'amount': {'saleamt': 0, 'saledisclosuretype': 2, 'saledocnum': '0003206773', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'amount': {'saleamt': 0, 'saledisclosuretype': 2, 'saledocnum': '0003346584', 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}]}]}"
1305 Main St,Sturgis,SD,57785,"{'status': {'version': '1.0.0', 'code': 0, 'msg': 'SuccessWithResult', 'total': 1, 'page': 1, 'pagesize': 10}, 'property': [{'identifier': {'obPropId': 31086353446093, 'fips': '46093', 'apn': '01.71.18.LA', 'attomId': 310863534}, 'lot': {'depth': 0, 'frontage': 0, 'lotnum': 'LA', 'lotsize1': 0.402, 'lotsize2': 17511}, 'area': {'blockNum': '18', 'countrysecsubd': 'Meade County', 'countyuse1': 'NA-DC2', 'subdname': 'ORIGINAL TOWN'}, 'address': {'country': 'US', 'countrySubd': 'SD', 'line1': '1305 MAIN ST', 'line2': 'STURGIS, SD 57785', 'locality': 'Sturgis', 'matchCode': 'ExaStr', 'oneLine': '1305 MAIN ST, STURGIS, SD 57785', 'postal1': '57785', 'postal2': '1528', 'postal3': 'C002'}, 'location': {'accuracy': 'Street', 'elevation': 0.0, 'latitude': '44.414689', 'longitude': '-103.514171', 'distance': 0.0, 'geoid': 'CO46093, CS4662100, DB4669930, PL4662100, SB0000116923, ZI57785'}, 'summary': {'absenteeInd': 'ABSENTEE(MAIL AND SITUS NOT =)', 'propclass': 'Commercial', 'proptype': 'COMMERCIAL (NEC)', 'yearbuilt': 0, 'propLandUse': 'COMMERCIAL (NEC)', 'propIndicator': '20'}, 'utilities': {}, 'building': {'size': {'bldgsize': 0, 'grosssize': 0, 'grosssizeadjusted': 0, 'groundfloorsize': 0, 'livingsize': 0, 'sizeInd': 'BUILDING SQFT ', 'universalsize': 0}, 'rooms': {'bathfixtures': -1, 'baths1qtr': 0, 'baths3qtr': 0, 'bathscalc': 0.0, 'bathsfull': 0, 'bathshalf': 0, 'bathstotal': 0.0, 'beds': 0, 'roomsTotal': 0}, 'interior': {'bsmtsize': 0, 'fplccount': 0}, 'construction': {}, 'parking': {'prkgSize': 0}, 'summary': {'bldgsNum': 0, 'levels': 0, 'mobileHomeInd': ' ', 'unitsCount': '0', 'yearbuilteffective': 0}}, 'vintage': {'lastModified': '2018-7-19', 'pubDate': '2018-7-24'}, 'salehistory': [{'amount': {'saleamt': 0, 'saledisclosuretype': 0, 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}]}]}"
