street,city,state,zip,sales
190 Egel Ave 200,Middlesex,NJ,08846-2504,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
855 Woodlane Rd,Westampton,NJ,08060,"{'status': {'version': '1.0.0', 'code': 212, 'msg': 'Success without results. No data available for this address.', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
755 1st St,Crawford,NE,69339,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
507 25TH ST SW,Jamestown,ND,58401,"{'status': {'version': '1.0.0', 'code': 0, 'msg': 'SuccessWithResult', 'total': 1, 'page': 1, 'pagesize': 10}, 'property': [{'identifier': {'obPropId': 30410339738093, 'fips': '38093', 'apn': '74-2012000', 'attomId': 304103397}, 'lot': {'depth': 0, 'frontage': 0, 'lotnum': '6,10', 'lotsize1': 0.0, 'lotsize2': 0}, 'area': {'blockNum': '2', 'countrysecsubd': 'Stutsman County', 'countyuse1': '233     ', 'subdname': 'DAKOTA INN ADDITION'}, 'address': {'country': 'US', 'countrySubd': 'ND', 'line1': '507 25TH ST SW', 'line2': 'JAMESTOWN, ND 58401', 'locality': 'Jamestown', 'matchCode': 'ExaZip', 'oneLine': '507 25TH ST SW, JAMESTOWN, ND 58401', 'postal1': '58401', 'postal2': '6628', 'postal3': 'R002'}, 'location': {'accuracy': 'Zip5', 'elevation': 0.0, 'latitude': '46.881870', 'longitude': '-98.758040', 'distance': 0.0, 'geoid': 'CO38093, CS3887380, DB3800021, SB0000100938, ZI58401'}, 'summary': {'absenteeInd': 'ABSENTEE(MAIL AND SITUS NOT =)', 'propclass': 'Commercial', 'proptype': 'COMMERCIAL (NEC)', 'yearbuilt': 0, 'propLandUse': 'COMMERCIAL (NEC)', 'propIndicator': '20'}, 'utilities': {}, 'building': {'size': {'bldgsize': 0, 'grosssize': 0, 'grosssizeadjusted': 0, 'groundfloorsize': 0, 'livingsize': 0, 'sizeInd': 'BUILDING SQFT ', 'universalsize': 0}, 'rooms': {'bathfixtures': 0, 'baths1qtr': 0, 'baths3qtr': 0, 'bathscalc': 0.0, 'bathsfull': 0, 'bathshalf': 0, 'bathstotal': 0.0, 'beds': 0, 'roomsTotal': 0}, 'interior': {'bsmtsize': 0, 'fplccount': 0}, 'construction': {}, 'parking': {'prkgSize': 0}, 'summary': {'bldgsNum': 0, 'levels': 0, 'mobileHomeInd': ' ', 'unitsCount': '0', 'yearbuilteffective': 0}}, 'vintage': {'lastModified': '2018-1-27', 'pubDate': '2018-1-27'}, 'salehistory': [{'salesearchdate': '2006-5-23', 'saleTransDate': '2006-5-23', 'amount': {'saleamt': 0, 'salerecdate': '2006-6-8', 'saledisclosuretype': 2, 'saledocnum': 'X174619', 'saletranstype': 'Resale'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'amount': {'saleamt': 0, 'saledisclosuretype': 2, 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'amount': {'saleamt': 0, 'saledisclosuretype': 2, 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'amount': {'saleamt': 0, 'saledisclosuretype': 2, 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}, {'amount': {'saleamt': 0, 'saledisclosuretype': 2, 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}]}]}"
1008 2ND AVE SE,Jamestown,ND,58401,"{'status': {'version': '1.0.0', 'code': 0, 'msg': 'SuccessWithResult', 'total': 1, 'page': 1, 'pagesize': 10}, 'property': [{'identifier': {'obPropId': 30410338838093, 'fips': '38093', 'apn': '74-1987000', 'attomId': 304103388}, 'lot': {'depth': 0, 'frontage': 0, 'lotnum': '8-9', 'lotsize1': 0.0, 'lotsize2': 0}, 'area': {'blockNum': '4', 'countrysecsubd': 'Stutsman County', 'countyuse1': '233     ', 'subdname': 'CURTINS SECOND ADDITION'}, 'address': {'country': 'US', 'countrySubd': 'ND', 'line1': '1008 2ND AVE SE', 'line2': 'JAMESTOWN, ND 58401', 'locality': 'Jamestown', 'matchCode': 'ExaStr', 'oneLine': '1008 2ND AVE SE, JAMESTOWN, ND 58401', 'postal1': '58401', 'postal2': '5504', 'postal3': 'C002'}, 'location': {'accuracy': 'Street', 'elevation': 0.0, 'latitude': '46.898196', 'longitude': '-98.706755', 'distance': 0.0, 'geoid': 'CO38093, CS3840580, DB3800021, PL3840580, SB0000100938, ZI58401'}, 'summary': {'absenteeInd': 'OWNER OCCUPIED', 'propclass': 'Commercial', 'proptype': 'COMMERCIAL (NEC)', 'yearbuilt': 0, 'propLandUse': 'COMMERCIAL (NEC)', 'propIndicator': '20'}, 'utilities': {}, 'building': {'size': {'bldgsize': 0, 'grosssize': 0, 'grosssizeadjusted': 0, 'groundfloorsize': 0, 'livingsize': 0, 'sizeInd': 'BUILDING SQFT ', 'universalsize': 0}, 'rooms': {'bathfixtures': 0, 'baths1qtr': 0, 'baths3qtr': 0, 'bathscalc': 0.0, 'bathsfull': 0, 'bathshalf': 0, 'bathstotal': 0.0, 'beds': 0, 'roomsTotal': 0}, 'interior': {'bsmtsize': 0, 'fplccount': 0}, 'construction': {}, 'parking': {'prkgSize': 0}, 'summary': {'bldgsNum': 0, 'levels': 0, 'mobileHomeInd': ' ', 'unitsCount': '0', 'yearbuilteffective': 0}}, 'vintage': {'lastModified': '2018-5-15', 'pubDate': '2018-5-15'}, 'salehistory': [{'salesearchdate': '2007-6-21', 'saleTransDate': '2007-6-21', 'amount': {'saleamt': 143387, 'salerecdate': '2007-6-22', 'saledisclosuretype': 2, 'saledocnum': 'X179072', 'saletranstype': 'Resale'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}]}]}"
516A Cruise St,Corinth,MS,38834,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
224 Mayfield street,Taylorsville,MS,39168,"{'status': {'version': '1.0.0', 'code': 210, 'msg': 'Geocoder Results Address Not Identified.', 'total': 0, 'page': 0, 'pagesize': 0}}"
301 COUNTY ROAD 559A,PIEDMONT,MO,63957,"{'status': {'version': '1.0.0', 'code': 211, 'msg': 'Success with results. Address positioning is approximate to the ZIP Code.', 'total': 1, 'page': 1, 'pagesize': 10}, 'property': [{'identifier': {'obPropId': 30012135029179, 'fips': '29179', 'apn': '27-0.9-029-000-000-010.00000', 'attomId': 300121350}, 'lot': {'depth': 0, 'frontage': 0, 'lotsize1': 156.33, 'lotsize2': 6809735, 'poolind': 'Y', 'pooltype': 'TYPE UNKNOWN'}, 'area': {'countrysecsubd': 'Reynolds County'}, 'address': {'country': 'US', 'countrySubd': 'MO', 'line1': '301 COUNTY ROAD 559A', 'line2': 'PIEDMONT, MO 63957', 'locality': 'Piedmont', 'matchCode': 'ExaZip', 'oneLine': '301 COUNTY ROAD 559A, PIEDMONT, MO 63957', 'postal1': '63957', 'postal2': '9001', 'postal3': 'R003'}, 'location': {'accuracy': 'Zip9', 'elevation': 0.0, 'latitude': '37.161410', 'longitude': '-90.706830', 'distance': 0.0, 'geoid': 'CO29223, CS2904816, DB2909750, SB0000096403, SB0000096404, SB0000096405, ZI63957'}, 'summary': {'absenteeInd': 'OWNER OCCUPIED', 'propclass': 'Single Family Residence / Townhouse', 'proptype': 'SFR', 'yearbuilt': 1999, 'propLandUse': 'SFR', 'propIndicator': '10'}, 'utilities': {'coolingtype': 'TYPE UNKNOWN', 'heatingtype': 'FORCED AIR'}, 'building': {'size': {'bldgsize': 0, 'grosssize': 0, 'grosssizeadjusted': 3075, 'groundfloorsize': 0, 'livingsize': 3075, 'sizeInd': 'LIVING SQFT ', 'universalsize': 3075}, 'rooms': {'bathfixtures': 9, 'baths1qtr': 0, 'baths3qtr': 0, 'bathscalc': 0.0, 'bathsfull': 0, 'bathshalf': 0, 'bathstotal': 0.0, 'beds': 4, 'roomsTotal': 12}, 'interior': {'bsmtsize': 0, 'fplccount': 0}, 'construction': {'foundationtype': 'CONCRETE', 'roofcover': 'SHINGLE', 'wallType': 'ALUMINUM/VINYL'}, 'parking': {'prkgSize': 1500}, 'summary': {'bldgsNum': 0, 'levels': 2, 'mobileHomeInd': ' ', 'unitsCount': '0', 'yearbuilteffective': 0}}, 'vintage': {'lastModified': '2018-7-19', 'pubDate': '2018-7-24'}, 'salehistory': [{'amount': {'saleamt': 0, 'saledisclosuretype': 2, 'saletranstype': 'Stand Alone Finance'}, 'calculation': {'priceperbed': 0, 'pricepersizeunit': 0}}]}]}"
9494 WATSON INDUSTRIAL PARK,Saint Louis,MO,63126,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
400 MAIN ST,Mercer,MO,64661,"{'status': {'version': '1.0.0', 'code': 1, 'msg': 'SuccessWithoutResult', 'total': 0, 'page': 1, 'pagesize': 10}, 'property': []}"
